,Text,Hate_MV,Hate_0,Hate_11,Hate_13,Reasoning_LLM,Hate_list_LLM,Raw_output_LLM,Hate_MV_LLM,Hate_MV_diff
76,The Clerk Magistrate of Eviction court gave me until coming Tuesday  5/1 to come up with the rest of $1785.Was able to pay $685 off but I still owe $965  No Not lazy!! (I have medical issues)I was also laid off from work and I'm fighting to get my unemployment approved 1785 is the agreement to get on a payment plan to avoid the Eviction. #Gab  paypal.me/APerrone429,0,0,0,0,"The post is a personal account of financial struggles and an appeal for help to avoid eviction. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is focused on the individual's situation and does not target any group or individual in a derogatory manner. Therefore, it is unlikely to be considered hate speech by any of the annotators.","[0, 0, 0]","The post is a personal account of financial struggles and an appeal for help to avoid eviction. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The content is focused on the individual's situation and does not target any group or individual in a derogatory manner. Therefore, it is unlikely to be considered hate speech by any of the annotators.",0,0
77,Commiecrats; vile and disgusting traitorous vomit!,1,1,1,1,"The post uses derogatory language ('vile and disgusting traitorous vomit') to describe a group referred to as 'Commiecrats,' which appears to be a pejorative term combining 'communist' and 'Democrats.' This language could be seen as an assault on human dignity, as it degrades a political group. The use of 'vomit' is vulgar and offensive, but there is no explicit call for violence. Annotators might disagree on whether the post constitutes hate speech due to its political nature and the lack of explicit targeting of a protected characteristic, leading to potential high disagreement.","[1, 0, 1]","The post uses derogatory language ('vile and disgusting traitorous vomit') to describe a group referred to as 'Commiecrats,' which appears to be a pejorative term combining 'communist' and 'Democrats.' This language could be seen as an assault on human dignity, as it degrades a political group. The use of 'vomit' is vulgar and offensive, but there is no explicit call for violence. Annotators might disagree on whether the post constitutes hate speech due to its political nature and the lack of explicit targeting of a protected characteristic, leading to potential high disagreement.",1,0
78,You will be asking that question alot these days,0,0,0,0,"The post 'You will be asking that question alot these days' is vague and lacks context. It does not contain any explicit language or content that directly relates to the aspects of hate speech such as assaults on human dignity, calls for violence, or vulgarity and offensive language. Due to its ambiguous nature, it is likely to be interpreted differently by different annotators, leading to high disagreement. Some annotators might see it as a benign statement, while others might infer a negative or sarcastic tone depending on the context in which it was posted.","[0, 0, 0]","The post is ambiguous and lacks context, making it difficult to categorize as hate speech. It does not explicitly demean, incite violence, or use offensive language. Therefore, it is likely that all three annotators would label it as not hate speech, resulting in labels [0, 0, 0].",0,0
79,"How kind. Thank you, JB.",0,0,0,0,"The post 'How kind. Thank you, JB.' is a simple expression of gratitude and does not contain any elements that would typically be associated with hate speech. It does not demean or degrade any individuals or groups, nor does it incite violence or use vulgar or offensive language. Given its straightforward and positive nature, it is likely that all annotators would agree that this post does not constitute hate speech.","[0, 0, 0]","The post is a straightforward expression of gratitude and politeness. It lacks any elements of hate speech, such as assaults on human dignity, calls for violence, or vulgarity. Therefore, it is expected that all annotators would label it as not hate speech, resulting in a consensus of [0, 0, 0].",0,0
80,"14 In whom we have redemption through his blood, even the forgiveness of sins:",0,0,0,0,"The post is a religious statement referencing a biblical verse about redemption and forgiveness through the blood of Jesus. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it is unlikely to be considered hate speech by any of the annotators.","[0, 0, 0]","The post is a religious statement referencing a biblical verse about redemption and forgiveness through the blood of Jesus. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it is unlikely to be considered hate speech by any of the annotators. The likely labels are [0, 0, 0].",0,0
81,EUROPE ELIMINATED JESUS. LOOK AT HOW PATHETIC & DANGEROUS EUROPE IS NOW. THE ONLY SAFE COUNTRY IS POLAND WHERE THEY PROCLAIM JESUS IS OUR KING. THE ONLY ONES WHO LAUGH ABOUT JESUS R CRIMINALLY INSANE EVIL SLAVES OF SATAN ,0,1,0,0,"The post makes a sweeping generalization about Europe, suggesting that the continent is 'pathetic & dangerous' due to the elimination of Jesus, which could be seen as an assault on human dignity by implying moral or cultural inferiority. It praises Poland for proclaiming Jesus as king, which is not hate speech. However, the post refers to those who 'laugh about Jesus' as 'criminally insane evil slaves of Satan,' which could be interpreted as vulgar and offensive language, potentially targeting non-Christians or secular individuals. The post does not explicitly call for violence, but the language used could be seen as inflammatory or derogatory.","[1, 0, 1]","The post contains elements that could be interpreted as hate speech, particularly in its derogatory language towards those who do not share the same religious beliefs. Annotator Andy might label it as hate speech due to the offensive language and potential assault on human dignity. Annotator Ben might not see it as hate speech if he interprets the post as a religious opinion rather than an attack. Annotator Chris might label it as hate speech due to the inflammatory language and the potential to demean individuals based on their religious beliefs.",1,1
82,"here's a interesting fact, when I used to point out the ineptitude of black G.I's on WW2 discussion groups using the historical facts, I got banned, never thought so many cucks were into history.",1,1,1,0,"The post contains language that could be interpreted as demeaning or degrading towards black individuals, particularly in the context of historical discussions about World War II. The use of the term 'ineptitude' in reference to black G.I.s suggests an assault on human dignity by implying racial inferiority. Additionally, the term 'cucks' is often used in a derogatory manner, which could be seen as vulgar or offensive language. Given these elements, annotators might have differing opinions on whether the post constitutes hate speech, particularly regarding the severity of the language and the context in which it is used. This could lead to some disagreement among annotators.","[1, 1, 0]","The post is likely to be seen as containing hate speech by some annotators due to its demeaning language towards black individuals and the use of derogatory terms. However, one annotator might not label it as hate speech if they interpret the post as a commentary on censorship or historical discussion rather than an attack on a racial group.",1,0
83,"I am so tired of everything the DEMONCRATS have forced upon us over the years! The only way to peacefully stop there Evil is to vote! If they rig our voting system, which is the only way they could win! Then I am ready to go to war! ",1,1,1,0,"The post expresses strong political opinions against Democrats, using the term 'DEMONCRATS' which is a derogatory play on words. It suggests that the only peaceful way to stop them is through voting, but also implies a readiness to go to war if the voting system is perceived as rigged. This could be interpreted as a call for violence, although it is framed conditionally. The use of 'DEMONCRATS' could be seen as an assault on human dignity, as it dehumanizes a political group. The post does not contain vulgarity or offensive language in terms of profanity, but the derogatory term and the implication of violence could be seen as offensive. Annotators might disagree on whether this constitutes hate speech due to the conditional nature of the call to action and the political context.","[0, 1, 1]","The post uses derogatory language ('DEMONCRATS') which could be seen as demeaning to a political group, potentially falling under 'Assaults on Human Dignity'. It also implies a readiness to go to war if the voting system is perceived as rigged, which could be interpreted as a 'Call for Violence'. However, the call to action is conditional and framed within a political context, which might lead to disagreement among annotators. The post does not contain explicit vulgarity or offensive language, but the derogatory term and implication of violence could be seen as offensive. Annotators might label it as hate speech due to the dehumanizing language and implied threat of violence, but there could be some disagreement due to the political context and conditional framing.",1,0
84,"Its the ""holy"" days for murdering isalmists... around the world rape, murder, beheadings, and all sorts of unspeakable violence are taking place ",1,1,1,0,"The post makes a derogatory statement about Islamists, associating them with violence and criminal acts during their holy days. This can be seen as an assault on human dignity, as it degrades a religious group by implying they are inherently violent. The language used is offensive and could be interpreted as inciting hatred against Muslims. Annotators might differ in their interpretation of whether this constitutes a call for violence, but the post clearly contains elements of hate speech related to assaults on human dignity and offensive language.","[1, 1, 1]","The post is likely to be labeled as hate speech by all three annotators due to its derogatory and offensive nature towards a religious group, associating them with violence and criminal acts. This falls under assaults on human dignity and vulgarity/offensive language.",1,0
85,South Africa is waging genocide against whites. I guess they won't be needing aid from America shortly.....,0,1,0,0,"The post makes a serious accusation of genocide against a racial group, which can be seen as an assault on human dignity. It implies a racial conflict and could be interpreted as inciting fear or hostility. The mention of 'not needing aid from America' could be seen as sarcastic or dismissive, potentially trivializing the situation. Annotators might disagree on whether this constitutes hate speech due to the lack of explicit vulgarity or calls for violence, but the implication of racial conflict and genocide is significant.","[1, 1, 0]","The post accuses South Africa of committing genocide against whites, which is a serious and inflammatory claim. This could be seen as an assault on human dignity by suggesting racial violence. The sarcastic tone about not needing aid from America could be interpreted as dismissive or trivializing. Annotators might label this as hate speech due to the racial implications and the serious nature of the accusation, although one might not see it as hate speech due to the lack of explicit vulgarity or direct calls for violence.",1,1
86,"This is funny and it really show how dumb the Dumbocrats (my term) really are. So they have run out of all their ideas to get rid of Trump and nothing seems to work. How sad. So now they are suing him, his family members, Wikileaks, and others. Guess what? He's suing them back. This will be so much fun. https://www.youtube.com/watch?v=LhycR0Q8N2w",1,1,1,1,"The post uses the term 'Dumbocrats' to refer to Democrats, which could be seen as offensive or derogatory, but it does not directly assault human dignity based on protected characteristics. It does not contain calls for violence or incite physical harm. The language is somewhat vulgar or offensive, but it is more of a political insult rather than hate speech. Annotators might have different views on whether the term 'Dumbocrats' constitutes hate speech, leading to some disagreement.","[0, 0, 1]","The post primarily criticizes Democrats using a derogatory term 'Dumbocrats,' which may be seen as offensive but not necessarily hate speech. It does not attack individuals based on protected characteristics, nor does it incite violence. The disagreement among annotators may arise from the interpretation of the term 'Dumbocrats' as offensive language. Therefore, the labels could be [0, 0, 1].",0,1
87,"#AntifaFaggot UNC Professor Dwayne Dixon, charged with two misdemeanors for bringing a semi-automatic rifle to a rumored KKK rally. He will be charged with causing the death of Heather Heyer at CVille as well.The faggot's email is dedixon@email.unc.edu ",1,1,1,0,"The post uses the slur 'faggot' multiple times, which is offensive and vulgar language targeting individuals based on sexual orientation. This aspect of the post is likely to be considered hate speech by annotators. Additionally, the post mentions a specific individual, Dwayne Dixon, and provides his email address, which could be seen as an attempt to incite harassment or violence against him. The mention of a semi-automatic rifle and a KKK rally adds a context of potential violence, which may be interpreted as a call for violence or at least an endorsement of violent behavior. Given these elements, annotators are likely to have a consensus that this post constitutes hate speech, although there might be some disagreement on the severity or specific aspects.","[1, 1, 1]","The post contains multiple elements that are likely to be interpreted as hate speech by annotators. The use of the slur 'faggot' is a clear instance of vulgarity and offensive language, which targets individuals based on sexual orientation. This alone could lead annotators to label the post as hate speech. Additionally, the post mentions a specific individual, Dwayne Dixon, and provides his email address, which could be seen as an attempt to incite harassment or violence against him. The context of a semi-automatic rifle and a KKK rally adds a layer of potential violence, which may be interpreted as a call for violence or at least an endorsement of violent behavior. Given these elements, annotators are likely to have a consensus that this post constitutes hate speech, although there might be some disagreement on the severity or specific aspects. However, the presence of multiple hate speech elements suggests that all annotators would likely label it as hate speech.",1,0
88,"It is propaganda selling a dangerously bad choice. Interracial relationships (black man/white woman in particular) have much higher rates of domestic abuse, divorce, etc. than normal relationships.",1,1,1,0,"The post makes a claim about interracial relationships, particularly between black men and white women, suggesting they have higher rates of domestic abuse and divorce compared to 'normal' relationships. This can be seen as an assault on human dignity as it degrades interracial relationships and implies they are inferior or problematic. The language used is not overtly vulgar or offensive, but the underlying message can be interpreted as promoting racial stereotypes and discrimination. Annotators may disagree on whether this constitutes hate speech, as some may view it as a harmful stereotype while others may see it as an expression of opinion based on perceived statistics.","[1, 0, 1]","The post is likely to be labeled as hate speech by some annotators due to its demeaning nature towards interracial relationships, particularly targeting black men and white women. It perpetuates negative stereotypes and could be seen as an assault on human dignity. However, the lack of explicit vulgarity or calls for violence might lead one annotator to not label it as hate speech, resulting in some disagreement.",1,0
89,That's what they make bio hazard suits for.,0,0,0,0,"The post 'That's what they make bio hazard suits for.' is ambiguous and lacks context, making it difficult to determine if it constitutes hate speech. Without additional context, it is unclear whether this statement is directed at a specific group or individual in a demeaning or degrading manner, or if it is a general statement. The post does not explicitly call for violence or contain vulgar or offensive language. However, depending on the context, it could be interpreted as demeaning if it implies that a certain group of people are hazardous or dangerous. Due to the lack of context and potential for varied interpretation, annotators might have high disagreement on this post.","[0, 0, 1]","The post is ambiguous and lacks context, making it difficult to determine if it constitutes hate speech. Without additional context, it is unclear whether this statement is directed at a specific group or individual in a demeaning or degrading manner, or if it is a general statement. The post does not explicitly call for violence or contain vulgar or offensive language. However, depending on the context, it could be interpreted as demeaning if it implies that a certain group of people are hazardous or dangerous. Due to the lack of context and potential for varied interpretation, annotators might have high disagreement on this post. Therefore, the labels could be [0, 0, 1].",0,0
90,"What a bad trip. Oh god, I need some rest.",0,0,0,0,"The post 'What a bad trip. Oh god, I need some rest.' does not contain any elements that would typically be considered hate speech. It does not demean or degrade any individuals or groups, nor does it incite violence or use vulgar or offensive language. The post seems to be a personal expression of fatigue or a negative experience, likely unrelated to any hate speech aspects. Therefore, it is likely that all annotators would agree that this post does not constitute hate speech.","[0, 0, 0]",The post is a personal expression of a negative experience and does not contain any hate speech elements. All annotators would likely agree on this assessment.,0,0
91,"To Republicans and Conservative Americans, it's more than common sense, it's our very survival.",0,0,0,0,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. It appears to be a statement of political opinion or belief, emphasizing the importance of certain values to a specific political group. The language is not inherently hateful or degrading towards any group, nor does it incite violence. Given the lack of explicit hate speech elements, annotators are likely to agree that this post does not constitute hate speech.","[0, 0, 0]","The post is a political statement that emphasizes the importance of certain values to a specific political group. It does not contain explicit hate speech elements such as assaults on human dignity, calls for violence, or vulgarity/offensive language. Therefore, it is likely that all three annotators would agree that this post does not constitute hate speech, resulting in a low disagreement and a label of [0, 0, 0].",0,0
92,That dude was awesome in Green Mile and Daredevil...  https://www.imdb.com/name/nm0003817/?ref_=ttfc_fc_cl_t3,0,0,0,0,"The post is a simple comment about an actor's performance in two movies, 'Green Mile' and 'Daredevil,' with a link to the actor's IMDb page. There is no language or context in the post that suggests any form of hate speech. It does not demean or degrade any individual or group, nor does it incite violence or use vulgar or offensive language. The post is straightforward and lacks any ambiguity that might lead to disagreement among annotators.","[0, 0, 0]","The post is a straightforward comment about an actor's performance in movies, with no elements of hate speech. All annotators would likely agree that it does not constitute hate speech.",0,0
93,Italians were the real Fascists,0,0,0,0,"The post 'Italians were the real Fascists' could be interpreted in different ways. It could be seen as a historical statement, as Italy was indeed the birthplace of Fascism under Mussolini. However, it could also be interpreted as a derogatory statement against Italians, potentially demeaning them by associating them with Fascism. This could be seen as an assault on human dignity. The post does not contain any explicit calls for violence or vulgar language. Given the potential for different interpretations, there might be some disagreement among annotators.","[0, 1, 0]","The post 'Italians were the real Fascists' could be interpreted in different ways. It could be seen as a historical statement, as Italy was indeed the birthplace of Fascism under Mussolini. However, it could also be interpreted as a derogatory statement against Italians, potentially demeaning them by associating them with Fascism. This could be seen as an assault on human dignity. The post does not contain any explicit calls for violence or vulgar language. Given the potential for different interpretations, there might be some disagreement among annotators.",0,0
94,Got WiFi working on the flight whitey no sand niggers just a KANG @Slav‍ @American_Conservative‍ @NorthStar1727‍ @Azda‍ @HoundOfUlster‍ @Fugginhuwitemale‍,1,1,1,0,"The post contains offensive language, specifically racial slurs such as 'whitey' and 'sand niggers,' which are derogatory terms targeting racial groups. This falls under the aspect of 'Assaults on Human Dignity' as it demeans individuals based on race. The use of such language is likely to be interpreted as hate speech by annotators. Additionally, the term 'KANG' could be interpreted as a derogatory reference, although its context is less clear. Given the explicit use of racial slurs, there is likely to be low disagreement among annotators that this post constitutes hate speech.","[1, 1, 1]","The post uses explicit racial slurs and derogatory language targeting racial groups, which is a clear indicator of hate speech. Annotators are likely to agree on labeling this as hate speech due to the offensive and demeaning nature of the language used. The post does not call for violence but does assault human dignity through its language. Therefore, all three annotators are likely to label it as hate speech.",1,0
95,"JFC. And we're back to infighting. God Damn It, keep your eyes on the real enemy. They are starting fires with the amount of hand-rubbing they do when we go after each other.",0,1,0,0,"The post uses the phrase 'hand-rubbing' which can be interpreted as a stereotype often associated with certain ethnic groups, potentially demeaning them. However, the post does not explicitly call for violence or use vulgar language directly against a specific group. The context of 'infighting' and 'real enemy' is vague and could be interpreted in various ways, leading to potential disagreement among annotators. Some may see it as a subtle assault on human dignity due to the stereotype, while others may not see it as hate speech at all.","[0, 1, 0]","The post contains ambiguous language that could be interpreted as a stereotype, which may lead to disagreement among annotators. One annotator might see it as an assault on human dignity due to the stereotype, while others might not see it as hate speech. The lack of explicit calls for violence or vulgar language might lead to a mixed assessment.",0,0
96,"whoa dude, those club things look pretty nasty, you better watch those optics ya fuckin cuck",0,1,0,0,"The post contains vulgar language, specifically the term 'cuck,' which is often used as a derogatory term. However, it does not explicitly demean or degrade individuals based on protected characteristics, nor does it call for violence. The use of 'fuckin' adds to the offensive language aspect, but the context is more about optics and not directly targeting a specific group. Annotators might have different interpretations of the severity of the language used, leading to some disagreement.","[0, 0, 1]","The post uses offensive language, particularly the term 'cuck,' which is derogatory but not necessarily hate speech. It lacks clear assaults on human dignity or calls for violence. Annotators might disagree on whether the vulgarity alone constitutes hate speech, leading to a possible label of [0, 0, 1].",0,0
97,White Genocide: How Europe is being Destroyed by the Jews https://www.darkmoon.me/2016/white-genocide-how-europe-is-being-destroyed-by-the-jews/,1,1,1,0,"The post title explicitly mentions 'White Genocide' and blames 'the Jews' for the destruction of Europe. This is a clear assault on human dignity as it targets a specific ethnic and religious group with a harmful stereotype. The language used is inflammatory and suggests a conspiracy theory, which can be interpreted as a call for violence or at least inciting hatred against Jewish people. The post also contains offensive language by using the term 'genocide' in a context that is meant to demonize a group. Given these factors, it is likely that all annotators would agree that this post constitutes hate speech.","[1, 1, 1]","The post is likely to be labeled as hate speech by all annotators due to its explicit targeting of a specific group (Jews) and the use of inflammatory language suggesting a conspiracy theory. The term 'White Genocide' is particularly offensive and is used to incite fear and hatred, which falls under the category of assaults on human dignity and potentially calls for violence. Therefore, the labels would be [1, 1, 1].",1,0
98,I see NRA ads everyday on Youtube. ,0,1,0,0,"The post simply states that the user sees NRA (National Rifle Association) ads on YouTube. There is no language that assaults human dignity, calls for violence, or uses vulgar or offensive language. The post is neutral and factual, without any indication of hate speech. Annotators are likely to agree that this post does not constitute hate speech.","[0, 0, 0]","The post is neutral and factual, without any indication of hate speech. Annotators are likely to agree that this post does not constitute hate speech.",0,0
99,The Hammer needs to come down hard and merciless on this evil old harpie! ,0,1,0,0,"The post uses aggressive language ('The Hammer needs to come down hard and merciless') which could be interpreted as a call for violence, although it is metaphorical. The term 'evil old harpie' is derogatory and demeaning, potentially assaulting human dignity based on age and gender. The language is offensive and vulgar, which may lead some annotators to label it as hate speech. However, the metaphorical nature of the language and lack of explicit targeting of a protected group may lead to disagreement among annotators.","[1, 0, 1]","The post contains metaphorical language that could be interpreted as a call for violence, as well as derogatory language that demeans an individual based on age and gender. Annotators may disagree on whether the metaphorical nature of the language constitutes a call for violence or if the derogatory term is sufficient to label it as hate speech. Therefore, the labels are likely to be [1, 0, 1], reflecting disagreement among annotators.",1,1
