,Text,Hate_MV,Hate_0,Hate_11,Hate_13,Reasoning_LLM,Hate_0_LLM,Hate_11_LLM,Hate_13_LLM,Raw_output_LLM,Hate_MV_LLM,Hate_MV_diff,Hate_0_diff,Hate_11_diff,Hate_13_diff
73,"The best ideology is to burn everything to the ground, or as I like to call it, postmodernism. ",1,1,0,1,"The post uses metaphorical language to express a radical idea of 'burning everything to the ground,' which could be interpreted as a call for destruction or upheaval. However, it is framed within the context of 'postmodernism,' which is a philosophical and cultural movement. The language does not explicitly target any specific group or individual, nor does it use vulgar or offensive language. Andy might see the metaphor as a potential call for violence, leading to a label of hate speech. Ben might interpret the post as a critique of postmodernism without any direct hate speech elements, leading to a non-hate speech label. Chris might also see it as a metaphorical expression without direct hate speech, leading to a non-hate speech label.",1,0,0,Label by Andy: 1 | Label by Ben: 0 | Label by Chris: 0,0,1,0,0,1
74,"If, extremism is present anywhere in US by immigrants of any religion they should be sent back to their country. Let them practice their level of intolerance in their old country! ",0,1,0,0,"The post suggests that immigrants who exhibit extremism should be deported. Andy might see this as an assault on human dignity, as it targets immigrants based on their religion and implies a negative stereotype about them. Ben might not see this as hate speech, as it doesn't explicitly use offensive language or call for violence, but rather suggests a policy action. Chris might also not see this as hate speech, as it doesn't contain vulgar language or direct incitement to violence, but rather a stance on immigration policy.",1,0,0,"Andy might label this as hate speech due to the potential assault on human dignity by targeting immigrants based on religion. Ben and Chris might not label it as hate speech, as it lacks vulgarity and direct calls for violence, and could be interpreted as a policy opinion.",0,0,0,0,0
75,"All they will do is rename stuff, nothing will change.",0,0,0,0,"The post 'All they will do is rename stuff, nothing will change.' does not contain any explicit or implicit assaults on human dignity, calls for violence, or vulgarity/offensive language. It appears to be a general statement about ineffectiveness or superficial changes, likely in a political or organizational context. There is no indication of hate speech based on the aspects provided. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech.",0,0,0,"The post is a general statement about ineffectiveness or superficial changes, likely in a political or organizational context. It does not contain any elements of hate speech as defined by the aspects provided. Therefore, Andy, Ben, and Chris would likely label it as not hate speech.",0,0,0,0,0
76,The Clerk Magistrate of Eviction court gave me until coming Tuesday  5/1 to come up with the rest of $1785.Was able to pay $685 off but I still owe $965  No Not lazy!! (I have medical issues)I was also laid off from work and I'm fighting to get my unemployment approved 1785 is the agreement to get on a payment plan to avoid the Eviction. #Gab  paypal.me/APerrone429,0,0,0,0,"The post is a personal account of financial struggles and does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It appears to be a plea for financial assistance and does not exhibit any characteristics of hate speech. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech.",0,0,0,"The post is a personal narrative about financial difficulties and a request for help. It does not contain any elements of hate speech, such as demeaning language, incitement to violence, or offensive language. Therefore, it is likely that all three annotators, Andy, Ben, and Chris, would label this post as not being hate speech. The disagreement level is low as the post is straightforward and lacks any hate speech indicators.",0,0,0,0,0
77,Commiecrats; vile and disgusting traitorous vomit!,1,1,1,1,"The post uses derogatory language ('vile and disgusting traitorous vomit') to describe a group referred to as 'Commiecrats,' which is likely a pejorative term for Democrats with communist leanings. This could be seen as an assault on human dignity by demeaning a political group. The language is vulgar and offensive, but it does not explicitly call for violence. Andy tends to label posts with offensive language as hate speech, so he might label this as hate speech. Ben might focus on the lack of explicit calls for violence and might not label it as hate speech. Chris might also focus on the offensive language and label it as hate speech, given his tendency to label posts with slurs or offensive language as hate speech.",1,0,1,Label by Andy: 1 | Label by Ben: 0 | Label by Chris: 1,1,0,0,1,0
78,You will be asking that question alot these days,0,0,0,0,"The post 'You will be asking that question alot these days' is vague and lacks context. It does not directly address any specific group or individual, nor does it contain any explicit offensive language, calls for violence, or assaults on human dignity. Given its ambiguity, it is likely to be interpreted differently by each annotator based on their subjective views and the context they might infer. Andy might see it as a potential veiled reference to something more sinister, given his tendency to label ambiguous posts as hate speech. Ben and Chris, however, are more likely to see it as non-hate speech due to the lack of explicit content that fits the hate speech criteria.",1,0,0,Label by Andy: 1 | Label by Ben: 0 | Label by Chris: 0,0,0,1,0,0
79,"How kind. Thank you, JB.",0,0,0,0,"The post 'How kind. Thank you, JB.' is a simple expression of gratitude and does not contain any elements of hate speech. It does not demean or degrade any individuals or groups, does not incite violence, and does not use vulgar or offensive language. Given the straightforward and positive nature of the post, it is unlikely to be interpreted as hate speech by any of the annotators.",0,0,0,"The post is a straightforward expression of gratitude and politeness, with no elements of hate speech present. All annotators are likely to agree that it does not constitute hate speech.",0,0,0,0,0
80,"14 In whom we have redemption through his blood, even the forgiveness of sins:",0,0,0,0,"The post is a biblical reference, specifically from the New Testament, and does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It is a religious text that speaks about redemption and forgiveness, which are generally positive themes. Andy, Ben, and Chris are likely to agree that this post does not constitute hate speech.",0,0,0,"The post is a religious text from the Bible, specifically a verse from the New Testament. It discusses themes of redemption and forgiveness, which are not related to hate speech. There is no assault on human dignity, no call for violence, and no vulgar or offensive language present in the post. Therefore, it is unlikely to be considered hate speech by any of the annotators. 

Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0",0,0,0,0,0
81,EUROPE ELIMINATED JESUS. LOOK AT HOW PATHETIC & DANGEROUS EUROPE IS NOW. THE ONLY SAFE COUNTRY IS POLAND WHERE THEY PROCLAIM JESUS IS OUR KING. THE ONLY ONES WHO LAUGH ABOUT JESUS R CRIMINALLY INSANE EVIL SLAVES OF SATAN ,0,1,0,0,"The post makes a broad generalization about Europe, suggesting that the continent is 'pathetic & dangerous' due to eliminating Jesus, which could be seen as an assault on human dignity by implying moral or cultural inferiority. It praises Poland for proclaiming Jesus as king, which is not hate speech but a religious opinion. The post also refers to those who 'laugh about Jesus' as 'criminally insane evil slaves of Satan,' which uses offensive language and could be interpreted as demeaning to non-Christians or secular individuals. Andy might see the post as demeaning to non-Christians and label it as hate speech. Ben might focus on the offensive language and the potential assault on human dignity, leading him to label it as hate speech. Chris might not see it as hate speech, interpreting it as a strong religious opinion rather than an attack on a specific group.",1,1,0,"Andy might label the post as hate speech due to its demeaning language towards non-Christians and the implication that Europe is inferior for not proclaiming Jesus as king. Ben might also label it as hate speech, focusing on the offensive language and the potential assault on human dignity. Chris might not label it as hate speech, interpreting it as a strong religious opinion rather than an attack on a specific group.",1,1,0,1,0
82,"here's a interesting fact, when I used to point out the ineptitude of black G.I's on WW2 discussion groups using the historical facts, I got banned, never thought so many cucks were into history.",1,1,1,0,"The post contains language that could be interpreted as demeaning towards black individuals by referring to their 'ineptitude' in a historical context, which could be seen as an assault on human dignity. The use of the term 'cucks' is vulgar and offensive, potentially adding to the perception of hate speech. Andy is likely to label this as hate speech due to the demeaning language and offensive term. Ben might also label it as hate speech, as he tends to be sensitive to racial issues and offensive language. Chris, however, might not label it as hate speech, as he has shown a tendency to be less sensitive to racial issues in previous examples.",1,1,0,"Andy is likely to label the post as hate speech due to the demeaning language towards black individuals and the use of the offensive term 'cucks'. Ben is also likely to label it as hate speech, given his sensitivity to racial issues and offensive language. Chris might not label it as hate speech, as he has shown a tendency to be less sensitive to racial issues in previous examples.",1,0,0,0,0
83,"I am so tired of everything the DEMONCRATS have forced upon us over the years! The only way to peacefully stop there Evil is to vote! If they rig our voting system, which is the only way they could win! Then I am ready to go to war! ",1,1,1,0,"The post uses the term 'DEMONCRATS,' which is a derogatory term for Democrats, suggesting a demeaning tone. It also implies a call for violence by stating 'I am ready to go to war' if the voting system is rigged. This could be interpreted as inciting violence if the political process does not go as desired. Andy is likely to focus on the derogatory term and the implied threat of violence, leading him to label it as hate speech. Ben might focus on the call to action and the potential for violence, also labeling it as hate speech. Chris might see the post as political hyperbole and not necessarily a direct call for violence, possibly leading to a non-hate speech label.",1,1,0,"Andy is likely to label the post as hate speech due to the use of derogatory language ('DEMONCRATS') and the implied threat of violence ('ready to go to war'). Ben might also label it as hate speech, focusing on the potential incitement to violence. Chris might interpret the post as political rhetoric rather than a direct call for violence, leading to a non-hate speech label.",1,0,0,0,0
84,"Its the ""holy"" days for murdering isalmists... around the world rape, murder, beheadings, and all sorts of unspeakable violence are taking place ",1,1,1,0,"The post makes a derogatory statement about 'isalmists' (likely a misspelling of 'Islamists'), associating them with violence, rape, and murder. This can be seen as an assault on human dignity as it generalizes and degrades a group based on religion. Andy is likely to label this as hate speech due to the demeaning language towards a religious group. Ben might also label it as hate speech because it contains offensive language and generalizations about a group. Chris, however, might not label it as hate speech if he interprets it as a critique of extremist actions rather than a blanket statement about a religious group, although the language is quite strong and could lead to a different interpretation.",1,1,0,Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 0,1,0,0,0,0
85,South Africa is waging genocide against whites. I guess they won't be needing aid from America shortly.....,0,1,0,0,"The post claims that South Africa is committing genocide against whites, which could be seen as an assault on human dignity by suggesting a racial conflict. It implies a severe accusation without evidence, which can be inflammatory. Andy might label this as hate speech due to the potential for inciting racial tension and the serious nature of the accusation. Ben might also see this as hate speech because it involves a claim of genocide, which is a severe accusation that can incite fear or anger. Chris, however, might not label it as hate speech if he interprets it as a political statement rather than a direct attack or incitement to violence.",1,1,0,"Andy might label the post as hate speech due to its potential to incite racial tension and the serious nature of the accusation of genocide. Ben might also see it as hate speech because it involves a claim of genocide, which is a severe accusation that can incite fear or anger. Chris might not label it as hate speech if he interprets it as a political statement rather than a direct attack or incitement to violence. Therefore, the labels would be: Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 0.",1,1,0,1,0
86,"This is funny and it really show how dumb the Dumbocrats (my term) really are. So they have run out of all their ideas to get rid of Trump and nothing seems to work. How sad. So now they are suing him, his family members, Wikileaks, and others. Guess what? He's suing them back. This will be so much fun. https://www.youtube.com/watch?v=LhycR0Q8N2w",1,1,1,1,"The post uses the term 'Dumbocrats' to refer to Democrats, which is a derogatory term but not necessarily hate speech. It criticizes political actions and expresses amusement at the legal battles involving Trump and his opponents. There is no direct assault on human dignity based on protected characteristics, no call for violence, and the language, while derogatory, is not overtly vulgar or offensive in a way that targets a specific group based on race, ethnicity, gender, etc. Andy might see the derogatory term as a form of hate speech, while Ben and Chris might not see it as crossing the threshold into hate speech.",1,0,0,"Andy might label this as hate speech due to the derogatory term 'Dumbocrats,' which he could interpret as an assault on human dignity, albeit in a political context. Ben and Chris are likely to see this as political commentary rather than hate speech, as it lacks the elements of violence, severe vulgarity, or attacks on protected characteristics.",0,1,0,1,1
87,"#AntifaFaggot UNC Professor Dwayne Dixon, charged with two misdemeanors for bringing a semi-automatic rifle to a rumored KKK rally. He will be charged with causing the death of Heather Heyer at CVille as well.The faggot's email is dedixon@email.unc.edu ",1,1,1,0,"The post uses a homophobic slur ('faggot') which is a clear example of vulgarity and offensive language. It also targets an individual, Dwayne Dixon, by sharing his email address, which can be seen as an invasion of privacy and potentially inciting harassment. The mention of a semi-automatic rifle and the death of Heather Heyer could be interpreted as a call for violence or at least an endorsement of violent actions. Andy is likely to label this as hate speech due to the use of slurs and potential incitement. Ben, who tends to focus on calls for violence and vulgarity, would also likely label this as hate speech. Chris, who is more lenient, might still label this as hate speech due to the explicit use of a slur and the aggressive tone of the post.",1,1,1,"The post contains a homophobic slur, which is offensive language, and targets an individual by sharing personal information, potentially inciting harassment. It also references violence, which could be seen as endorsing or inciting violence. Given these factors, Andy, Ben, and Chris are all likely to label this as hate speech.",1,0,0,0,1
88,"It is propaganda selling a dangerously bad choice. Interracial relationships (black man/white woman in particular) have much higher rates of domestic abuse, divorce, etc. than normal relationships.",1,1,1,0,"The post makes a claim about interracial relationships, particularly between black men and white women, suggesting they are more prone to negative outcomes like domestic abuse and divorce. This could be seen as an assault on human dignity by implying that such relationships are inherently flawed or dangerous, which may be interpreted as demeaning to those involved in interracial relationships. Andy, who tends to label posts as hate speech when they involve racial implications, is likely to see this as an assault on human dignity and label it as hate speech. Ben, who also considers racial implications seriously, might agree with Andy and label it as hate speech. Chris, however, might focus on the lack of explicit vulgarity or calls for violence and may not see it as hate speech, similar to his previous annotations where he did not label posts as hate speech unless they contained explicit slurs or calls for violence.",1,1,0,"Andy is likely to label the post as hate speech due to its implications about interracial relationships, which can be seen as demeaning. Ben might also label it as hate speech for similar reasons, focusing on the racial aspect. Chris might not label it as hate speech, as he tends to require more explicit language or calls for violence to do so.",1,0,0,0,0
89,That's what they make bio hazard suits for.,0,0,0,0,"The post 'That's what they make bio hazard suits for.' is ambiguous and lacks clear context. It could be interpreted in various ways depending on the context in which it was posted. Without additional context, it does not explicitly demean or degrade any group, nor does it call for violence. It also does not contain vulgar or offensive language. However, if this post were part of a conversation that involved demeaning or dehumanizing language towards a group of people, it could be interpreted as an assault on human dignity. Given the lack of context, Andy might be more cautious and label it as hate speech due to potential implications, while Ben and Chris might not see it as hate speech without explicit context or offensive language.",1,0,0,"The post is ambiguous and lacks context, making it difficult to definitively categorize as hate speech. Andy might label it as hate speech due to potential implications, while Ben and Chris might not see it as hate speech without explicit context or offensive language.",0,0,1,0,0
90,"What a bad trip. Oh god, I need some rest.",0,0,0,0,"The post 'What a bad trip. Oh god, I need some rest.' does not contain any elements that would typically be considered hate speech. It does not demean or degrade any individuals or groups based on protected characteristics, nor does it incite violence or use vulgar or offensive language. It appears to be a personal expression of fatigue or a negative experience, likely unrelated to any hate speech context. Therefore, it is unlikely that any of the annotators would label this as hate speech.",0,0,0,Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0,0,0,0,0,0
91,"To Republicans and Conservative Americans, it's more than common sense, it's our very survival.",0,0,0,0,"The post expresses a strong sentiment about the importance of certain values to Republicans and Conservative Americans, framing it as a matter of survival. It does not explicitly demean or degrade any group, nor does it call for violence or use vulgar language. Andy might see this as a strong political statement but not hate speech. Ben might agree, seeing it as a political expression without hate speech elements. Chris, who tends to be more sensitive to political rhetoric, might also see this as non-hate speech since it lacks direct attacks or offensive language.",0,0,0,"The post is a strong political statement emphasizing the importance of certain values to a specific political group. It does not contain elements of hate speech such as assaults on human dignity, calls for violence, or vulgar language. Therefore, it is likely that all three annotators would agree that it does not constitute hate speech.",0,0,0,0,0
92,That dude was awesome in Green Mile and Daredevil...  https://www.imdb.com/name/nm0003817/?ref_=ttfc_fc_cl_t3,0,0,0,0,"The post is a simple statement expressing admiration for an actor's performance in two movies, 'Green Mile' and 'Daredevil,' followed by a link to the actor's IMDb page. There is no language or content that assaults human dignity, calls for violence, or uses vulgar or offensive language. It is purely a positive comment about an actor's work.",0,0,0,"The post is a straightforward expression of admiration for an actor's performance in specific films, with no elements of hate speech present. All annotators are likely to agree that it does not constitute hate speech.",0,0,0,0,0
93,Italians were the real Fascists,0,0,0,0,"The post 'Italians were the real Fascists' could be interpreted in different ways. Andy might see this as an assault on human dignity, as it could be perceived as a derogatory statement about Italians, associating them with fascism. Ben might not see this as hate speech, as it could be interpreted as a historical statement rather than a derogatory one. Chris might also not see this as hate speech, as it lacks vulgarity or a direct call for violence. The post is likely to result in high disagreement due to its ambiguous nature and potential for different interpretations based on context.",1,0,0,"Andy might label this as hate speech due to the potential derogatory association of Italians with fascism, which could be seen as demeaning. Ben might not label it as hate speech, viewing it as a historical reference rather than an attack on dignity. Chris might also not label it as hate speech, as it lacks offensive language or a call for violence.",0,0,1,0,0
94,Got WiFi working on the flight whitey no sand niggers just a KANG @Slav‍ @American_Conservative‍ @NorthStar1727‍ @Azda‍ @HoundOfUlster‍ @Fugginhuwitemale‍,1,1,1,0,"The post contains racial slurs such as 'whitey' and 'sand niggers,' which are offensive and derogatory terms targeting specific racial groups. This language is likely to be considered an assault on human dignity due to its demeaning nature. Andy, who tends to label posts with offensive language as hate speech, would likely label this as hate speech. Ben, who also considers offensive language as a key indicator of hate speech, would likely agree with Andy. Chris, who sometimes does not label posts as hate speech even when they contain offensive language, might still label this as hate speech due to the explicit use of racial slurs.",1,1,1,"The post uses explicit racial slurs, which are clear indicators of hate speech. Andy, Ben, and Chris are all likely to label this post as hate speech due to the offensive and degrading language used against racial groups. Therefore, the labels would be: Label by Andy: 1 | Label by Ben: 1 | Label by Chris: 1.",1,0,0,0,1
95,"JFC. And we're back to infighting. God Damn It, keep your eyes on the real enemy. They are starting fires with the amount of hand-rubbing they do when we go after each other.",0,1,0,0,"The post uses the acronym 'JFC' which is a vulgar expression, and 'God Damn It', which could be considered offensive language. However, the main content of the post seems to be a call for unity against a 'real enemy', which is not explicitly identified. The phrase 'hand-rubbing' could imply a stereotype, but it is not clear enough to be definitively labeled as hate speech. Andy might focus on the potential for offensive language and implicit stereotyping, leading to a label of hate speech. Ben might not see this as hate speech due to the lack of explicit targeting of a group. Chris might also not label it as hate speech, focusing on the lack of clear demeaning or violent language.",1,0,0,"Andy might label the post as hate speech due to the use of vulgar and potentially offensive language, as well as the implicit stereotyping in the phrase 'hand-rubbing'. Ben might not label it as hate speech because the post lacks explicit targeting or demeaning language towards a specific group. Chris might also not label it as hate speech, focusing on the absence of clear calls for violence or explicit demeaning language.",0,0,0,0,0
96,"whoa dude, those club things look pretty nasty, you better watch those optics ya fuckin cuck",0,1,0,0,"The post contains vulgar language, specifically the term 'cuck,' which is often used as a derogatory term. However, it does not explicitly demean or degrade individuals based on protected characteristics, nor does it call for violence. The use of 'fuckin' adds to the offensive language aspect, but the context seems more like a personal insult rather than hate speech. Andy might label it as hate speech due to the offensive language, while Ben and Chris might not see it as hate speech since it lacks the other aspects like assaults on human dignity or calls for violence.",1,0,0,"The post uses offensive language, particularly the term 'cuck,' which is derogatory but not necessarily hate speech. Andy might focus on the vulgarity and label it as hate speech, while Ben and Chris might not see it as hate speech due to the lack of demeaning content based on protected characteristics or calls for violence.",0,0,0,0,0
97,White Genocide: How Europe is being Destroyed by the Jews https://www.darkmoon.me/2016/white-genocide-how-europe-is-being-destroyed-by-the-jews/,1,1,1,0,"The post explicitly uses the term 'White Genocide' and blames Jews for the destruction of Europe, which is a clear assault on human dignity by promoting anti-Semitic conspiracy theories. It also implies a call for action against Jews by framing them as the perpetrators of a 'genocide,' which can be interpreted as inciting violence. The language used is offensive and demeaning towards Jewish people. Andy, who tends to label posts with any form of hate speech as such, would likely label this as hate speech. Ben, who also labels posts with clear anti-Semitic content as hate speech, would likely agree. Chris, who sometimes does not label posts as hate speech unless they are explicitly violent or vulgar, might still label this as hate speech due to the severe nature of the content.",1,1,1,"The post is likely to be labeled as hate speech by all three annotators due to its explicit anti-Semitic content and the use of the term 'White Genocide,' which is a known conspiracy theory that promotes hate against Jewish people. The post assaults human dignity by blaming Jews for the destruction of Europe, which is a harmful stereotype and promotes discrimination. It also implies a call for action against Jews, which can be seen as inciting violence. The language is offensive and demeaning, making it likely that all three annotators would agree on labeling it as hate speech.",1,0,0,0,1
98,I see NRA ads everyday on Youtube. ,0,1,0,0,"The post simply states that the user sees NRA ads on YouTube. It does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. Therefore, it is unlikely to be considered hate speech by any of the annotators.",0,0,0,Label by Andy: 0 | Label by Ben: 0 | Label by Chris: 0,0,0,1,0,0
99,The Hammer needs to come down hard and merciless on this evil old harpie! ,0,1,0,0,"The post uses aggressive language ('The Hammer needs to come down hard and merciless') which could be interpreted as a call for violence, although it is metaphorical. The term 'evil old harpie' is derogatory and demeaning, potentially assaulting human dignity based on age and gender. Andy might focus on the demeaning language and see it as hate speech. Ben might interpret the metaphorical language as a call for violence and label it as hate speech. Chris might see the metaphorical nature and the lack of explicit hate speech elements, thus not label it as hate speech.",1,1,0,"Andy might label the post as hate speech due to the demeaning language ('evil old harpie') which could be seen as an assault on human dignity. Ben might also label it as hate speech, focusing on the aggressive tone and potential call for violence ('The Hammer needs to come down hard and merciless'). Chris might not label it as hate speech, considering the metaphorical nature of the language and the lack of explicit hate speech elements.",1,1,0,1,0
